Rede,Nome Fantasia,Logradouro,Complemento,Bairro,Cep,Ddd,Telefone,Uf,Municipio,DtAbertura,DtFechamento,CodUnidade,Cnpj,Categoria,Classificação,Fonte,Cnes,Latitude,Longitude
Uptime,UNIDADE PALMAS,AVENIDA LO-5   quadra 206 lote 19,,PLANO DIRETOR SUL,77020504,63,32153080,TO,PALMAS,,,,,Ensino,,,,,
Uptime,UNIDADE GUARAPUAVA ,Rua Guaíra 2966  ,,Centro,85010010,42,30360162,PR,Guarapuava,,,,,Ensino,,,,,
Uptime,UNIDADE JOÃO PESSOA ,Avenida Presidente Epitácio Pessoa 3701  ,,Miramar,58032000,83,32446886,PB,JOÃO PESSOA,,,,,Ensino,,,,,
Uptime,UNIDADE LONDRINA,Rua Paranaguá 688  ,,Centro,86020030,43,33474748,PR,Londrina,,,,,Ensino,,,,,
Uptime,UNIDADE PONTA GROSSA,RUA R JULIO DE CASTILHO 802  ,,CENTRO,84010220,42,32292635,PR,PONTA GROSSA,,,,,Ensino,,,,,
Uptime,UNIDADE SÃO JOSÉ DOS PINHAIS,Rua  Paulino de Siqueira Cortes 1154  ,,Centro,83030730,41,35560462,PR,São José dos Pinhais,,,,,Ensino,,,,,
Uptime,UNIDADE CAMPINA GRANDE,Rua Lino Gomes da Silva 53  Ao lado do AABB,,São José ,58400360,83,33222867,PB,Campina Grande,,,,,Ensino,,,,,
Uptime,UNIDADE VALINHOS,José Milani 81  ,,Vila Bissoto,13270200,19,33273336,SP,Valinhos,,,,,Ensino,,,,,
Uptime,UNIDADE PETRÓPOLIS,Av. Dom Pedro I 131  Centro,,Centro,25610020,24,22377301,RJ,Petrópolis,,,,,Ensino,,,,,
Uptime,UNIDADE VOLTA REDONDA,Rua Quarenta 37  ,,Vila Santa Cecilia,27260200,24,33484890,RJ,Volta Redonda,,,,,Ensino,,,,,
Uptime,UNIDADE RIO CENTRO,Rua do Rosario 157  3º andar,,Centro,20041005,21,22243434,RJ,Rio de Janeiro,,,,,Ensino,,,,,
Uptime,UNIDADE RIO CAMPO GRANDE,Rua Augusto de Vasconcelos 829  ,,Campo Grande,23045120,21,41079797,RJ,Rio de Janeiro,,,,,Ensino,,,,,
Uptime,UNIDADE JACAREPAGUÁ,Rua Xingu  93101  ,,Freguesia/Jacarepagua,22760070,21,2456-1572,RJ,Rio de Janeiro,,,,,Ensino,,,,,
Uptime,UNIDADE NOVA VENÉCIA,RUA EURICO SÁLES 21  ,,Centro,29830000,27,37521512,ES,Nova Venécia,,,,,Ensino,,,,,
Uptime,UNIDADE LARANJEIRAS,Rua Euclides da Cunha 797  ,,Laranjeiras,29165310,27,33286400,ES,Serra,,,,,Ensino,,,,,
Uptime,UNIDADE VILA VELHA,AVENIDA HUGO MUSSO 623  ,,PRAIA DA COSTA,29101280,27,33198366,ES,VILA VELHA,,,,,Ensino,,,,,
Uptime,UNIDADE VITÓRIA,Av. Desembargador Santos Neves 567  ,,Praia do Canto,29055721,27,32251100,ES,Vitória,,,,,Ensino,,,,,
Uptime,UNIDADE LINHARES,Avenida Rufino de Carvalho - de 952 ao fim - lado  1290  ,,Centro ,29900222,27,33712001,ES,Linhares,,,,,Ensino,,,,,
Uptime,UNIDADE RESENDE,Rua Vinte e Nove de Setembro 200  ,,Campos Elisios,27542030,24,33551003,RJ,Resende,,,,,Ensino,,,,,
Uptime,UNIDADE GUARÁ,Q.I. 07 Conjunto U lote 134  1º Andar,,Guará,71020216,61,30474900,DF,Brasília,,,,,Ensino,,,,,
Uptime,UNIDADE BRASÍLIA ,SHCS CR 506 - Bloco A 19  Salas 201202,,Asa Sul,70350515,61,32442828,DF,Brasília,,,,,Ensino,,,,,
Uptime,UNIDADE BRASILIA ASA NORTE,CLN 303 LOJA 36  BLOCO E,,ASA NORTE,70735550,61,32084003,DF,Brasília,,,,,Ensino,,,,,
Uptime,UNIDADE FORTALEZA ,Av. Rui Barbosa   1423   ,,Aldeota,60115221,85,30452124,CE,Fortaleza,,,,,Ensino,,,,,
Uptime,UNIDADE SÃO MATEUS,Rua da Liberdade 274  ,,Fátima,29933590,27,37632147,ES,São Mateus,,,,,Ensino,,,,,
Uptime,UNIDADE JARDIM CAMBURI,Rua Carlos Martins 1145  ,,Jardim Camburi,29090060,27,30554424,ES,Vitória,,,,,Ensino,,,,-20.25648,-40.26987
Uptime,UNIDADE TIJUCA,Rua Doutor Satamini 69  ,,Tijuca,20270232,21,22042292,RJ,Rio de Janeiro,,,,,Ensino,,,,,
Uptime,UNIDADE BARRA DA TIJUCA,Avenida das Américas 500  Bloco 9 Loja 104,,Barra da Tijuca,22640100,21,24939380,RJ,Rio de Janeiro,,,,,Ensino,,,,,
Uptime,UNIDADE ILHA DO GOVERNADOR,Rua República Árabe da Síria 515 / Salas 303 a 307 - ,,,21931370,21,24623863,RJ,Rio de Janeiro,,,,,Ensino,,,,,
Uptime,UNIDADE RECIFE - ESPINHEIRO/GRAÇAS,Rua Conselheiro Portela 408  ,,Espinheiro,52020030,81,31261003,PE,Recife,,,,,Ensino,,,,,
Uptime,UNIDADE SALVADOR ITAIGARA,"Av. ACM, Edificio Maxcenter 846  Loja 31",,Itaigara,41825900,71,30110268,BA,Salvador,,,,,Ensino,,,,,
Uptime,UNIDADE SALVADOR BROTAS,Av D João VI 285  ,,Brotas,40285000,71,33414218,BA,Salvador,,,,,Ensino,,,,,
Uptime,UNIDADE SALVADOR ALPHAVILLE,Avenida Luiz Viana Filho 6462  Loja 13,,Paralela,41730101,71,30124444,BA,Salvador,,,,,Ensino,,,,,
Uptime,UNIDADE MANAUS,Rua Paraíba 7  Av. Jornalista Humberto Calderaro Filho,,Adrianópolis,69057021,92,32369820,AM,Manaus,,,,,Ensino,,,,,
Uptime,UNIDADE VITÓRIA DA CONQUISTA,Avenida Brasil 325  ,,Candeias,45028265,77,34247177,BA,Vitória da Conquista,,,,,Ensino,,,,,
Uptime,UNIDADE MACEIÓ,Rua José Júlio Sawer 108  ,,Ponta Verde,57035390,82,30220100,AL,Maceió,,,,,Ensino,,,,,
Uptime,UNIDADE LAURO DE FREITAS,Avenida Praia de Itapoan sn  Quadra D 27 - Lote 04 - 2ºandar ,,Vilas do Atlântico,42707650,71,33794705,BA,Lauro de Freitas,,,,,Ensino,,,,,
Uptime,UNIDADE CARIACICA,Av. Expedito Garcia 200  3º Andar,,Campo Grande,29146200,27,33960009,ES,Cariacica,,,,,Ensino,,,,,
Uptime,UNIDADE ITUMBIARA,Rua Franklin Xavier 275  ,,CENTRO,75503070,64,34304300,GO,ITUMBIARA,,,,,Ensino,,,,,
Uptime,UNIDADE SALVADOR STIEP,Rua José Peroba 349  ,,Stiep,41770235,71,33410851,BA,Salvador,,,,,Ensino,,,,,
